 num     #instances         #bytes  class name (module)
 315:            83           1992  java.lang.Double (java.base@11.0.2)
 316:            83           1992  javax.swing.KeyboardManager$ComponentKeyStrokePair (java.desktop@11.0.2)
 317:            91           1976  [Ljava.util.Map$Entry; (java.base@11.0.2)
 318:             4           1952  sun.swing.FilePane (java.desktop@11.0.2)
 319:           121           1936  java.lang.Float (java.base@11.0.2)
 320:            30           1920  com.mysql.jdbc.ConnectionPropertiesImpl$IntegerConnectionProperty
 321:            24           1920  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLIILL (java.base@11.0.2)
 322:            20           1920  sun.font.CompositeFont (java.desktop@11.0.2)
 323:             4           1888  adams.gui.core.BaseCheckBox
 324:             4           1888  javax.swing.plaf.metal.MetalFileChooserUI$3 (java.desktop@11.0.2)
 325:            39           1872  adams.core.option.CustomHooksOption
 326:            77           1848  javax.swing.text.html.HTML$Tag (java.desktop@11.0.2)
 327:            77           1848  javax.swing.text.html.StyleSheet$SelectorMapping (java.desktop@11.0.2)
 328:            76           1824  java.util.Currency$OtherCurrencyEntry (java.base@11.0.2)
 329:            72           1728  sun.awt.image.BufImgSurfaceManager (java.desktop@11.0.2)
 330:            18           1728  sun.awt.image.BytePackedRaster (java.desktop@11.0.2)
 331:            43           1720  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@11.0.2)
 332:            53           1696  java.security.spec.EllipticCurve (java.base@11.0.2)
 333:             3           1680  adams.gui.core.BaseSplitButton
 334:            35           1680  javax.swing.text.AbstractDocument$BidiRootElement (java.desktop@11.0.2)
 335:            52           1664  sun.nio.fs.UnixPath (java.base@11.0.2)
 336:             4           1664  sun.swing.FilePane$4 (java.desktop@11.0.2)
 337:           103           1648  javax.swing.Timer$DoPostEvent (java.desktop@11.0.2)
 338:             4           1632  adams.gui.core.BaseList
 339:            34           1632  sun.security.ssl.SupportedGroupsExtension$NamedGroup (java.base@11.0.2)
 340:            67           1608  javax.swing.text.html.CSS$Attribute (java.desktop@11.0.2)
 341:            20           1600  adams.gui.visualization.core.AxisPanelOptions
 342:            25           1600  java.util.jar.JarFile (java.base@11.0.2)
 343:            25           1600  java.util.zip.ZipFile$Source (java.base@11.0.2)
 344:            25           1600  javax.swing.DefaultListSelectionModel (java.desktop@11.0.2)
 345:            20           1600  javax.swing.plaf.basic.BasicCheckBoxMenuItemUI (java.desktop@11.0.2)
 346:             4           1600  javax.swing.plaf.metal.MetalFileChooserUI$1 (java.desktop@11.0.2)
 347:             4           1600  javax.swing.plaf.metal.MetalFileChooserUI$DirectoryComboBoxRenderer (java.desktop@11.0.2)
 348:             4           1600  javax.swing.plaf.metal.MetalFileChooserUI$FilterComboBoxRenderer (java.desktop@11.0.2)
 349:             4           1600  sun.swing.FilePane$FileRenderer (java.desktop@11.0.2)
 350:            66           1584  java.util.regex.Pattern$Slice (java.base@11.0.2)
 351:            66           1584  javax.swing.plaf.InputMapUIResource (java.desktop@11.0.2)
 352:             4           1568  javax.swing.JComboBox (java.desktop@11.0.2)
 353:            65           1560  java.util.jar.Attributes$Name (java.base@11.0.2)
 354:            65           1560  javax.swing.plaf.basic.BasicScrollBarUI$ArrowButtonListener (java.desktop@11.0.2)
 355:            65           1560  javax.swing.plaf.basic.BasicScrollBarUI$ScrollListener (java.desktop@11.0.2)
 356:            65           1560  javax.swing.plaf.metal.MetalScrollBarUI$ScrollBarListener (java.desktop@11.0.2)
 357:            48           1536  javax.swing.plaf.ColorUIResource (java.desktop@11.0.2)
 358:            27           1512  adams.core.Properties
 359:             6           1488  adams.flow.sink.SequencePlotter
 360:             4           1472  adams.gui.core.FilterPanel
 361:            46           1472  java.util.LinkedList (java.base@11.0.2)
 362:             4           1472  javax.swing.JSpinner (java.desktop@11.0.2)
 363:             4           1472  javax.swing.plaf.metal.MetalFileChooserUI (java.desktop@11.0.2)
 364:            92           1472  sun.java2d.pipe.PixelToShapeConverter (java.desktop@11.0.2)
 365:            64           1464  [Ljavax.swing.text.AttributeSet; (java.desktop@11.0.2)
 366:            61           1464  java.lang.ProcessEnvironment$Value (java.base@11.0.2)
 367:            61           1464  java.lang.ProcessEnvironment$Variable (java.base@11.0.2)
 368:             7           1456  javax.swing.plaf.basic.BasicSplitPaneUI$1 (java.desktop@11.0.2)
 369:            45           1440  java.io.RandomAccessFile (java.base@11.0.2)
